
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +---------------+---------+
    | Parameter     |   Value |
    |---------------+---------|
    | w [m]         |     100 |
    | h [m]         |      10 |
    | d [m]         |       5 |
    | t [m]         |     0.5 |
    | thickness [m] |       1 |
    | kx [m/day]    |      20 |
    | ky [m/day]    |      20 |
    +---------------+---------+

    Model boundary conditions:

    +----------+--------------------+
    |   Marker |   Piezometric head |
    |----------+--------------------|
    |       10 |                 10 |
    |       20 |                  0 |
    +----------+--------------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+-----+
    | Max element size:   |   2 |
    | Dofs per node:      |   1 |
    | Element type:       |   2 |
    | Number of dofs:     | 396 |
    | Number of elements: | 672 |
    | Number of nodes:    | 396 |
    +---------------------+-----+

    Summary of results:

    +------------------------+---------+---------+
    | Max piezometric head:  |  10.000 | [m]     |
    | Min piezometric head:  |   0.000 | [m]     |
    | Max boundary flow:     |  20.776 | [m/day] |
    | Min boundary flow:     | -21.007 | [m/day] |
    | Sum boundary flow:     |   0.000 | [m/day] |
    | Max resulting gw flow: |  67.544 | [m/day] |
    | Min resulting gw flow: |   0.003 | [m/day] |
    +------------------------+---------+---------+

    Results per node:

    +-----+-------+-----------+------------+--------+-----------+
    |   N |   dof |   x_coord |    y_coord |   P.h. |      q BC |
    |     |       |       [m] |        [m] |    [m] |   [m/day] |
    |-----+-------+-----------+------------+--------+-----------|
    | 132 |   132 |      77.1 |        8.3 |  0.020 |     0.000 |
    | 133 |   133 |      73.1 |        8.3 |  0.038 |     0.000 |
    | 134 |   134 |      26.9 |        8.3 |  9.962 |     0.000 |
    | 135 |   135 |      69.1 |        8.3 |  0.070 |     0.000 |
    | 136 |   136 |      30.9 |        8.3 |  9.930 |     0.000 |
    | 137 |   137 |      65.1 |        8.3 |  0.132 |    -0.000 |
    | 138 |   138 |      34.9 |        8.2 |  9.863 |    -0.000 |
    | 139 |   139 |      38.8 |        8.4 |  9.765 |    -0.000 |
    | 140 |   140 |      61.1 |        8.3 |  0.244 |     0.000 |
    | 141 |   141 |       5.0 |        1.7 |  9.995 |    -0.000 |
    | 142 |   142 |      95.0 |        1.7 |  0.005 |     0.000 |
    | 143 |   143 |       9.0 |        1.7 |  9.991 |     0.000 |
    | 144 |   144 |      91.0 |        1.7 |  0.009 |     0.000 |
    | 145 |   145 |      87.0 |        1.7 |  0.016 |     0.000 |
    | 146 |   146 |      13.0 |        1.7 |  9.984 |    -0.000 |
    | 147 |   147 |      83.0 |        1.7 |  0.029 |     0.000 |
    | 148 |   148 |      17.0 |        1.7 |  9.971 |     0.000 |
    | 149 |   149 |      79.0 |        1.7 |  0.055 |     0.000 |
    | 150 |   150 |      21.0 |        1.7 |  9.945 |    -0.000 |
    | 151 |   151 |      75.0 |        1.7 |  0.103 |     0.000 |
    | 152 |   152 |      25.0 |        1.7 |  9.897 |     0.000 |
    | 153 |   153 |      71.0 |        1.7 |  0.193 |     0.000 |
    | 154 |   154 |      29.0 |        1.7 |  9.808 |     0.000 |
    | 155 |   155 |      63.0 |        1.7 |  0.677 |     0.000 |
    | 156 |   156 |      36.9 |        1.6 |  9.332 |    -0.000 |
    | 157 |   157 |      67.0 |        1.7 |  0.361 |     0.000 |
    | 158 |   158 |      33.0 |        1.7 |  9.641 |     0.000 |
    | 159 |   159 |      51.4 |        5.9 |  2.545 |     0.000 |
    | 160 |   160 |      55.3 |        1.7 |  2.279 |    -0.000 |
    | 161 |   161 |      48.7 |        5.7 |  7.175 |    -0.000 |
    | 162 |   162 |      45.0 |        1.7 |  7.625 |    -0.000 |
    | 163 |   163 |      98.4 |        5.1 |  0.003 |     0.000 |
    | 164 |   164 |       1.6 |        5.1 |  9.997 |    -0.000 |
    | 165 |   165 |      51.1 |        1.6 |  4.307 |     0.000 |
    | 166 |   166 |      50.0 |        4.6 |  5.086 |    -0.000 |
    | 167 |   167 |      50.7 |        4.3 |  4.239 |     0.000 |
