
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +-------------+---------+
    | Parameter   |   Value |
    |-------------+---------|
    | w [m]       |     0.1 |
    | h [m]       |     0.1 |
    | a [m]       |    0.01 |
    | b [m]       |    0.01 |
    | x [m]       |    0.01 |
    | y [m]       |    0.01 |
    | t [m]       |       1 |
    | kx [W/mC]   |     1.7 |
    | ky [W/mC]   |     1.7 |
    +-------------+---------+

    Model boundary conditions:

    +----------+---------------+
    |   Marker |   Temperature |
    |----------+---------------|
    |       10 |            20 |
    |       20 |            20 |
    |       30 |            20 |
    |       40 |            20 |
    |      110 |           120 |
    |      120 |           120 |
    |      130 |           120 |
    |      140 |           120 |
    +----------+---------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+------+
    | Max element size:   | 0.05 |
    | Dofs per node:      |    1 |
    | Element type:       |    3 |
    | Number of dofs:     |  357 |
    | Number of elements: |  321 |
    | Number of nodes:    |  357 |
    +---------------------+------+

    Summary of results:

    +--------------------------+-----------+--------+
    | Max Temperature:         |   120.000 | [C]    |
    | Min Temperature:         |    20.000 | [C]    |
    | Max boundary heat power: |   158.823 | [W/m]  |
    | Min boundary heat power: |   -96.880 | [W/m]  |
    | Sum boundary heat power: |     0.000 | [W/m]  |
    | Max resulting heat flux: | 27267.602 | [W/m2] |
    | Min resulting heat flux: |     4.625 | [W/m2] |
    +--------------------------+-----------+--------+

    Results per node:

    +-----+-------+-----------+------------+-------+--------------+
    |   N |   dof |   x_coord |    y_coord |     T |   Heat power |
    |     |       |       [m] |        [m] |   [C] |        [W/m] |
    |-----+-------+-----------+------------+-------+--------------|
    | 177 |   177 |   0.05299 |    0.01727 |  23.4 |    -3.55e-14 |
    | 178 |   178 |   0.04664 |    0.02257 |  24.9 |    -2.13e-14 |
    | 179 |   179 |   0.04827 |    0.01673 |  22.7 |     1.42e-14 |
    | 180 |   180 |    0.0429 |    0.01975 |  23.4 |     7.11e-15 |
    | 181 |   181 |   0.04785 |    0.08016 |  37.3 |    -1.42e-14 |
    | 182 |   182 |   0.02735 |    0.05717 |  40.2 |    -5.68e-14 |
    | 183 |   183 |   0.02763 |    0.01755 |  22.7 |            0 |
    | 184 |   184 |   0.06388 |    0.06692 |  27.9 |     2.84e-14 |
    | 185 |   185 |    0.0113 |    0.03657 |  24.2 |            0 |
    | 186 |   186 |   0.05319 |    0.08064 |    31 |     2.84e-14 |
    | 187 |   187 |   0.08393 |     0.0787 |  22.6 |     1.42e-14 |
    | 188 |   188 |   0.08228 |    0.07181 |  23.4 |            0 |
    | 189 |   189 |   0.04795 |    0.08604 |    32 |     7.82e-14 |
    | 190 |   190 |   0.01175 |   0.005724 |  20.6 |     7.11e-15 |
    | 191 |   191 |   0.09483 |    0.01114 |  20.3 |     7.11e-15 |
    | 192 |   192 |   0.04364 |    0.01609 |  23.4 |     1.42e-14 |
    | 193 |   193 |   0.05849 |    0.07411 |  29.7 |    -2.84e-14 |
    | 194 |   194 |   0.06862 |    0.01727 |  21.9 |    -1.78e-15 |
    | 195 |   195 |   0.07417 |    0.01727 |  21.9 |     7.11e-15 |
    | 196 |   196 |   0.06251 |    0.01143 |  21.4 |    -7.11e-15 |
    | 197 |   197 |   0.07536 |    0.02413 |  22.1 |     2.13e-14 |
    | 198 |   198 |   0.07939 |    0.02134 |  21.9 |     1.42e-14 |
    | 199 |   199 |   0.08099 |    0.02801 |  22.3 |    -7.11e-15 |
    | 200 |   200 |   0.07923 |    0.01738 |  21.3 |    -1.42e-14 |
    | 201 |   201 |   0.01898 |    0.07436 |  77.7 |    -8.53e-14 |
    | 202 |   202 |   0.08396 |     0.0184 |  21.3 |     -1.6e-14 |
    | 203 |   203 |   0.03011 |    0.09468 |  38.1 |    -7.11e-15 |
    | 204 |   204 |   0.03317 |    0.01724 |  23.7 |     1.42e-14 |
    | 205 |   205 |   0.08386 |      0.083 |  21.9 |    -2.84e-14 |
    | 206 |   206 |  0.004579 |     0.0721 |  44.4 |    -1.42e-14 |
    | 207 |   207 |   0.07799 |    0.08898 |  21.9 |     1.42e-14 |
    | 208 |   208 |   0.01102 |    0.05566 |  35.6 |      3.2e-14 |
    | 209 |   209 |   0.01034 |    0.06108 |  37.3 |     3.05e-14 |
    | 210 |   210 |   0.01522 |     0.0622 |  49.6 |     5.03e-14 |
    | 211 |   211 |   0.01292 |    0.06666 |  49.5 |     4.28e-14 |
    | 212 |   212 |   0.01136 |    0.04304 |  27.5 |    -1.42e-14 |
    | 213 |   213 |   0.03403 |    0.01115 |  21.8 |     1.07e-14 |
    | 214 |   214 |   0.05342 |    0.01341 |    22 |            0 |
    | 215 |   215 |   0.06365 |     0.0792 |  26.8 |     1.78e-14 |
    | 216 |   216 |   0.06354 |    0.08679 |  25.7 |    -2.84e-14 |
    | 217 |   217 |   0.08448 |    0.01314 |  20.7 |            0 |
    | 218 |   218 |   0.08948 |    0.01492 |  20.7 |     7.11e-15 |
    | 219 |   219 |   0.06822 |    0.08792 |  23.6 |            0 |
    | 220 |   220 |   0.06318 |    0.09119 |  23.4 |    -7.11e-15 |
    | 221 |   221 |    0.0587 |    0.08662 |  26.3 |     1.42e-14 |
    | 222 |   222 |  0.005715 |    0.04327 |  23.2 |    -3.55e-14 |
    | 223 |   223 |   0.01109 |    0.01776 |  21.8 |            0 |
    | 224 |   224 |   0.02842 |    0.01138 |  22.2 |    -2.13e-14 |
    | 225 |   225 |   0.01129 |    0.01166 |  20.8 |     2.13e-14 |
    | 226 |   226 |   0.01701 |    0.01152 |  21.6 |     1.42e-14 |
    | 227 |   227 |  0.005522 |    0.05568 |  26.8 |     7.11e-15 |
    | 228 |   228 |  0.005097 |    0.06633 |  32.9 |     2.26e-14 |
